"","genus_species","species","genus","family","order","publications","citations","journals","years_publishing","x","y"
"218","Antechinus leo","leo","Antechinus","Dasyuridae","Dasyuromorphia",3,36,3,23,145.000000000003,-19.0030052338497
"219","Antechinus minimus","minimus","Antechinus","Dasyuridae","Dasyuromorphia",26,415,14,46,144.459522759044,-39.2854273881258
"220","Antechinus mysticus","mysticus","Antechinus","Dasyuridae","Dasyuromorphia",7,68,6,10,152.337472114846,-27.6836654183707
"221","Antechinus stuartii","stuartii","Antechinus","Dasyuridae","Dasyuromorphia",198,5991,76,57,152.130562832066,-31.1135104148608
"222","Antechinus subtropicus","subtropicus","Antechinus","Dasyuridae","Dasyuromorphia",6,61,6,22,153,-28.0185711887021
"223","Antechinus swainsonii","swainsonii","Antechinus","Dasyuridae","Dasyuromorphia",55,1126,34,56,146.231832143347,-38.4672173712778
"224","Antechinus vandycki","vandycki","Antechinus","Dasyuridae","Dasyuromorphia",1,19,1,7,NA,NA
"225","Anthops ornatus","ornatus","Anthops","Hipposideridae","Chiroptera",0,0,0,NA,155,-7
"226","Antidorcas marsupialis","marsupialis","Antidorcas","Bovidae","Artiodactyla",222,3876,125,51,21.2504207774449,-27.5981753602395
"227","Antilocapra americana","americana","Antilocapra","Antilocapridae","Artiodactyla",393,7461,135,157,-109.665092992262,41.5560110057564
"228","Antilope cervicapra","cervicapra","Antilope","Bovidae","Artiodactyla",140,1361,101,92,-98.8232604599115,29.9614848545902
"229","Antrozous pallidus","pallidus","Antrozous","Vespertilionidae","Chiroptera",95,1847,54,60,-110.047191503791,33.0581676750482
"230","Aonyx capensis","capensis","Aonyx","Mustelidae","Carnivora",57,688,32,62,30.0089303496041,-27.0847842267092
"231","Aonyx cinerea","cinerea","Aonyx","Mustelidae","Carnivora",89,689,54,49,118.334702935937,9.67225024912921
"232","Aonyx congicus","congicus","Aonyx","Mustelidae","Carnivora",2,20,2,6,20.3322437100057,-8.33789553971201
"233","Aotus azarae","azarae","Aotus","Aotidae","Primates",76,878,41,38,-59.0068450338282,-25.4316550110339
"234","Aotus brumbacki","brumbacki","Aotus","Aotidae","Primates",5,155,5,39,-72,4.33563706315321
"235","Aotus griseimembra","griseimembra","Aotus","Aotidae","Primates",8,53,8,49,-74.5544324271482,7.91125697441838
"236","Aotus jorgehernandezi","jorgehernandezi","Aotus","Aotidae","Primates",0,0,0,NA,-75,5
